,host,time,http,URL,version,status,bytes
168,lcubed.terranet.com,01/Jul/1995:14:45:19-0400,GET,/shuttle/missions/sts-80/mission-sts-80.html,HTTP/1.0,404,-
169,www-b6.proxy.aol.com,01/Jul/1995:14:45:56-0400,GET,/shuttle/technology/sts-newsref/sref-toc.html,HTTP/1.0,404,-
170,cygnus.omsi.edu,01/Jul/1995:14:53:32-0400,GET,/persons/astronauts/q-to-t/TrulyRH.txt,HTTP/1.0,404,-
171,dawn14.cs.berkeley.edu,01/Jul/1995:14:54:12-0400,GET,/shuttle/missions/sts-66/news/shuttle/missions/sts-66/,HTTP/1.0,404,-
172,199.190.250.10,01/Jul/1995:14:56:22-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
173,wwwproxy.ac.il,01/Jul/1995:14:58:16-0400,GET,/images/NAS,HTTP/1.0,404,-
174,www-b2.proxy.aol.com,01/Jul/1995:15:09:49-0400,GET,/shuttle/resources/orbiters/challenger.gif,HTTP/1.0,404,-
175,www-b2.proxy.aol.com,01/Jul/1995:15:09:58-0400,GET,/shuttle/resources/orbiters/challenger.gif,HTTP/1.0,404,-
176,mega206.megamed.com,01/Jul/1995:15:11:40-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
177,pm1-24.america.net,01/Jul/1995:15:14:47-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
178,mega206.megamed.com,01/Jul/1995:15:18:38-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
179,ip-pdx2-45.teleport.com,01/Jul/1995:15:21:33-0400,GET,/pub/winvn/readme.txt,HTTP/1.0,404,-
180,ip-pdx2-45.teleport.com,01/Jul/1995:15:21:38-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
181,www-b1.proxy.aol.com,01/Jul/1995:15:23:37-0400,GET,/hist/apollo/apollo-13/apollo-13.html,HTTP/1.0,404,-
182,slip65-198.ny.us.ibm.net,01/Jul/1995:15:28:06-0400,GET,/shuttle/missions/sts-XX/mission-sts-XX.html,HTTP/1.0,404,-
183,a1p38.connect.net,01/Jul/1995:15:29:53-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
184,syseng55.sunnyvale.telebit.com,01/Jul/1995:15:44:34-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0889.jpg,HTTP/1.0,404,-
185,ppp-hck-1-7.ios.com,01/Jul/1995:15:47:17-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
186,ppp-hck-1-7.ios.com,01/Jul/1995:15:47:26-0400,GET,/shuttle/missions/sts-71/images/KSC-95EC-0916.txt,HTTP/1.0,404,-
187,j51.com,01/Jul/1995:15:50:48-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
188,hfx-p27.isisnet.com,01/Jul/1995:15:51:18-0400,GET,/://spacelink.msfc.nasa.gov,HTTP/1.0,404,-
189,rofpop28.infosphere.com,01/Jul/1995:15:56:48-0400,GET,/pub/winvn/release.txt,HTTP/1.0,404,-
190,www-b1.proxy.aol.com,01/Jul/1995:15:59:46-0400,GET,/history.html,HTTP/1.0,404,-
191,www-b1.proxy.aol.com,01/Jul/1995:16:01:20-0400,GET,/history.html,HTTP/1.0,404,-
192,disarray.demon.co.uk,01/Jul/1995:16:01:23-0400,GET,/shuttle/resources/orbiters/atlantis.gif,HTTP/1.0,404,-
193,slip03.cs1.electriciti.com,01/Jul/1995:16:03:52-0400,GET,/shuttle/missions/sts-XX/sts-XX-info.html,HTTP/1.0,404,-
194,slip03.cs1.electriciti.com,01/Jul/1995:16:04:03-0400,GET,/shuttle/missions/sts-XX/sts-XX-press-kit.txt,HTTP/1.0,404,-
195,slip03.cs1.electriciti.com,01/Jul/1995:16:04:14-0400,GET,/shuttle/missions/sts-XX/mission-sts-XX.html,HTTP/1.0,404,-
196,shantz338-26.ccit.arizona.edu,01/Jul/1995:16:04:48-0400,GET,/people/nasa-cm/jmd.html,HTTP/1.0,404,-
197,slip03.cs1.electriciti.com,01/Jul/1995:16:05:10-0400,GET,/shuttle/missions/sts-77/sts-77-press-kit.txt,HTTP/1.0,404,-
198,training-mac18.caltech.edu,01/Jul/1995:16:06:55-0400,GET,/history/apollo/publications/sp-350/sp-350.txt~,HTTP/1.0,404,-
199,ad03-027.compuserve.com,01/Jul/1995:16:09:37-0400,GET,/shuttle/mirvis.html,HTTP/1.0,404,-
200,hfx-p27.isisnet.com,01/Jul/1995:16:17:57-0400,GET,/://spacelink.msfc.nasa.gov,HTTP/1.0,404,-
201,pink.pb.net,01/Jul/1995:16:42:09-0400,GET,/people/nasa-cm/jmd.html,HTTP/1.0,404,-
202,pink.pb.net,01/Jul/1995:16:42:15-0400,GET,/people/nasa-cm/jmd.html,HTTP/1.0,404,-
